run_id,input_file,budget,node_fraction,edge_fraction,population_size,tournament_size,p_crossover,p_mutation,payoff_function,best_fitness,runtime_seconds
tune_1,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,8013.0,325.26
tune_2,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,4790.0,328.95
tune_3,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,4942.0,338.97
tune_4,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,6256.0,377.42
tune_5,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,7808.0,411.36
tune_6,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,5934.0,432.85
tune_7,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,6205.0,444.34
tune_8,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,8508.0,342.17
tune_9,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,5260.0,335.30
tune_10,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,largest,9913.0,338.94
tune_1,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,pairwise,21010924.0,350.06
tune_2,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,pairwise,19627401.0,332.59
tune_3,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,pairwise,26921824.0,345.34
tune_4,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,pairwise,28273760.0,335.28
tune_5,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,pairwise,12333855.0,331.25
tune_6,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,pairwise,33330224.0,334.18
tune_7,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,pairwise,46657073.0,335.83
tune_8,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,pairwise,31029243.0,334.31
tune_9,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,pairwise,26127991.0,331.00
tune_10,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,pairwise,19269914.0,329.65
tune_1,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,components,1960.0,336.21
tune_2,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,components,3926.0,335.22
tune_3,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,components,4641.0,334.79
tune_4,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,components,4102.0,332.80
tune_5,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,components,2802.0,334.95
tune_6,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,components,4236.0,335.48
tune_7,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,components,4447.0,333.37
tune_8,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,components,4416.0,335.20
tune_9,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0,50,3,0.8,0.01,components,4571.0,336.38
